INDEX ALPHABETIZED BY YIDDISH SPELLING,,זוכצעטל לויטן ייִדישן אויסלייג,,,,,,,
,,,,,,,,,
/OFTShE/,Poland,אָווטשע,,,,,,,
/AVRO'TENE/,Ukraine,אַווראָטענע,,,,,,,
/OVRITSh/,Ukraine,אָווריטש,,,,,,,
/UZDE/,Belarus,אוזדע,,,,,,,
/UZVE'?NT/,Lithuania,אוזווענט,,,,,,,
/UZLyA'N/,Belarus,אוזליאַן,,,,,,,
/UZLyA'N/,Romania,אוזליאַן,,,,,,,
/UZhPOL/ (stress?),Lithuania,אוזשפּאָל,,,,,,,
/UTYyA'N/,Lithuania,אוטיאַן,,,,,,,
/OüVN/,Hungary,אויוון,,,,,,,
?,Romania,אויוועראָש,,,,,,,
/ULOK/?,Hungary,אולאָק?,,,,,,,
/ULE/,Belarus,אולע,,,,,,,
/I'MENy/,Ukraine,אומען,,,,,,,
/INGVER/,Ukraine,"אונגווער, אונגוואַר",,,,,,,
/UNGE'N/,Moldova,אונגען,,,,,,,
/I'NGERISh NEMIZhE/,Romania,אונגעריש נעמיזשע,,,,,,,
"/UNGERN/, /INGERN/",Hungary,אונגערן,,,,,,,
/I'NTERAPShE/,Ukraine,אונטעראַפּשע,,,,,,,
"/INTERBISTRE/, /INTERBRISTE/?",Ukraine,"אונטערביסטרע, אונטערבריסטע?",,,,,,,
/INTERVERETsKI'/? /INTERVE'RETsKE/?,Ukraine,"אונטערווערעצקי?, אונטערווערעצקע?",,,,,,,
/I'NTERLOPISh/,Poland,אונטערלאָפּיש,,,,,,,
/I'NTERMIShLE/,Slovakia,אונטערמישלע,,,,,,,
/I'NTERSUTSh/,Slovakia,אונטערסוטש,,,,,,,
/I'NTERRIBNITs/,Slovakia,אונטערריבניץ,,,,,,,
/I'NTERRINE/,Romania,אונטעררינע,,,,,,,
/UNKITE'ShT/,Moldova,אונקיטעשט,,,,,,,
/USOLOSE/?,Ukraine,אוסאָלאָסע?,,,,,,,
/UPINE/ (stress?),Lithuania,אופּינע,,,,,,,
"/UKRAYINE/, /(U)KRAyNE/",Ukraine,"אוקראַיִנע, (או)קרײַנע",,,,,,,
/URONKE/?,Poland,אוראָנקע?,,,,,,,
/URI'?TsK/,Belarus,אוריצק,,,,,,,
/URETShE/,Belarus,אורעטשע,,,,,,,
/UShA'?TSh/,Belarus,אושאַטש,,,,,,,
?,Lithuania,אושפּאָל,,,,,,,
/AZARITSh/ (stress?),Belarus,אַזאַריטש,,,,,,,
/AZA'RINITs/,Ukraine,אַזאַריניץ,,,,,,,
/AZDITITSh/,Ukraine,אַזדיטיטש,,,,,,,
