װי,3467
גאַרונג,1
געגעסן,152
בײדנס,5
האָבן,4726
געעפֿנט,49
געװוּסט,73
צונױפֿגענײט,1
פֿײַגנבלעטער,1
"גאַרטלען.
",1
געהערט,354
קול,13
קילקײט,1
באַהאַלטן,74
װוּ,197
ביסטו?,11
געענטפֿערט,145
דײַן,3488
מורא,154
געהאַט,340
בין,743
מיך,1135
װער,386
דיר,2030
ביסט,248
נאַקעט?,1
האָסטו,287
אים?,24
האָסט,809
"געגעסן.
",5
געטאָן?,21
אָנגערעדט,8
געטאָן,768
פֿאַרשאָלטן,49
בױך,23
גײן,418
פֿײַנטשאַפֿט,9
דיך,1211
טרעפֿן,34
קאָפּ,244
װעסט,597
"טריט.
",5
מאַטערניש,22
טראָגװײעניש,1
יסורים,5
געבערן,33
קינדער,1903
גלוסטונג,9
"דיר.
",58
צוגעהערט,161
זאָלסט,997
דײַנעטװעגן,5
נערן,2
דערנער,31
שטעכיק,2
געװעקס,6
שװײס,1
פּנים,376
ברױט,243
ביז,1090
קערסט,4
אום,246
ביסטו,143
זאָסלטו,5
"אומקערן.
",9
חַוָה,1
"לעבעדיקן.
",1
העמדלעך,10
פֿעל,23
"באַקלײדט.
",1
זע,542
אײנער,214
אונדז,777
אַצונד,429
קען,332
אױסשטרעקן,32
האַנט,1240
אײביק,313
אַרױסגעשיקט,15
אַרױסגעטריבן,5
כּרובים,1
פֿלאַמיקע,1
שװערד,366
דרײט,8
װעג,458
"לעבן.

",5
דערקענט,31
חַוָהן,1
טראָגעדיק,38
געבאָרן,389
קַיִנען,8
געקריגן,53
דורך,493
װידער,291
–,950
ברודער,230
"הֶבלען.
און",1
הֶבל,2
פּאַסטוך,34
שאָף,245
קַיִן,10
ערדאַרבעטער,2
פֿאַרלױף,4
קרבן,59
ערשטלינגען,6
פֿעטסטע,1
געקערט,50
הֶבלען,4
געערגערט,9
אַראָפּגעפֿאַלן,9
פֿאַרדריסט,4
פּנים?,3
װאָר,210
אױב,667
טאָן,653
אױפֿגענומען,7
הױערט,6
זינד,316
בײַ,1244
טיר,33
קענסט,37
"איר.
",28
גערעדט,542
אױפֿגעשטאַנען,177
קעגן,226
"געהרגעט.
",1
הֶבל?,1
דען,135
שומר,5
ברודער?,8
קָול,401
ברודערס,11
בלוט,308
שרײַט,24
אױפֿגעמאַכט,4
מױל,370
צוצונעמען,1
מער,410
געבן,494
קראַפֿט,12
נעַ-ונַד,2
שטראָף,32
גרױס,278
אַריבערצוטראָגן,2
אָט,213
הײַנט,219
